"","geo_type","region","transportation_type","alternative_name","2020-01-13","2020-01-14","2020-01-15","2020-01-16","2020-01-17","2020-01-18","2020-01-19","2020-01-20","2020-01-21","2020-01-22","2020-01-23","2020-01-24","2020-01-25","2020-01-26","2020-01-27","2020-01-28","2020-01-29","2020-01-30","2020-01-31","2020-02-01","2020-02-02","2020-02-03","2020-02-04","2020-02-05","2020-02-06","2020-02-07","2020-02-08","2020-02-09","2020-02-10","2020-02-11","2020-02-12","2020-02-13","2020-02-14","2020-02-15","2020-02-16","2020-02-17","2020-02-18","2020-02-19","2020-02-20","2020-02-21","2020-02-22","2020-02-23","2020-02-24","2020-02-25","2020-02-26","2020-02-27","2020-02-28","2020-02-29","2020-03-01","2020-03-02","2020-03-03","2020-03-04","2020-03-05","2020-03-06","2020-03-07","2020-03-08","2020-03-09","2020-03-10","2020-03-11","2020-03-12","2020-03-13","2020-03-14","2020-03-15","2020-03-16","2020-03-17","2020-03-18","2020-03-19","2020-03-20","2020-03-21","2020-03-22","2020-03-23","2020-03-24","2020-03-25","2020-03-26","2020-03-27","2020-03-28","2020-03-29","2020-03-30","2020-03-31","2020-04-01","2020-04-02","2020-04-03","2020-04-04","2020-04-05","2020-04-06","2020-04-07","2020-04-08","2020-04-09","2020-04-10","2020-04-11","2020-04-12","2020-04-13","2020-04-14","2020-04-15","2020-04-16","2020-04-17","2020-04-18","2020-04-19","2020-04-20","2020-04-21","2020-04-22","2020-04-23","2020-04-24","2020-04-25","2020-04-26","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-02","2020-05-03"
"99","country/region","Philippines","walking","Philippines",100,105.29,110.42,113.7,126.92,117.15,115.68,112.73,116.09,118.54,126.51,156.07,131.56,116.85,108.88,108.25,108.9,106.76,112.81,106.03,98.37,93.63,92.65,91.46,93.74,112.94,103,93.6,89.2,92.04,91.49,98.33,126.68,110.69,95.59,93.09,96.74,92.38,97.79,108.2,102.15,97.81,94.48,88.54,86.74,88.01,106.72,97.38,85.61,82.84,81.11,83.5,86.4,102.51,87.42,81.13,73.01,66.03,64.8,56.67,53.41,43.03,37.48,47.09,47.76,41.32,35.21,31.85,31.04,27.38,26.77,25.16,26.74,24.79,25.66,23.84,25.53,23.1,21.88,21.93,21.6,23.04,20.77,25.51,24.65,29.2,22.79,21.3,22.28,21.03,22.53,22.32,22.14,21.67,22.49,22.08,20.19,21.09,21.35,21.07,20.99,21,20.66,20.28,20.92,20.84,21.3,21.97,23,22.56,21.29,21.99
"101","country/region","Poland","walking","Polska",100,98.98,106.14,108.21,125.44,127.23,94.38,103.25,102.27,98.73,105.54,127.56,122.84,86.68,101.08,97.71,93.92,103.17,130.87,132.36,94.84,107.99,102.45,105.21,107.15,132.31,138.24,101.55,103.19,104.69,106.34,120.41,153.65,151.64,111.39,123.96,120.41,122.87,128.8,137.91,141.61,89.85,108.53,115.05,110.24,114.95,143.57,139.04,101.95,104.14,105.4,102.14,113.93,139,140.02,104.38,101.3,98,89.47,76.19,65.38,37.67,33.35,33.27,35.77,38.98,33.37,31.39,24.7,22.38,27.59,28.43,24.24,25.21,29.12,31.9,20.97,23.61,24.37,22.57,23.09,23.16,20.6,19.37,25.1,27.25,27.56,28.93,27.81,19.76,16.22,15.9,23.52,25.91,27.57,29.85,26.47,24.46,38.18,38.74,40.87,45.74,45.26,36.43,40.75,46.77,51.67,41.22,48.79,39.34,44.84,41.63
"103","country/region","Portugal","walking",NA,100,93.44,93.92,96.73,126.34,139.72,109.99,103.41,103.45,101.53,107.45,125.57,146.54,107.71,99.39,102.94,105.28,100.36,130.61,151.97,123.14,123.49,119.75,120.97,127.68,158.25,166.27,125.03,127.67,126.03,124.72,135.21,182.23,195.54,140.03,148.49,145.88,146.13,144.58,174.88,196.41,166.78,184.18,140.22,140.09,143.13,172.03,174.27,125.13,130.3,125.47,131.21,139.83,167.22,180.98,132.29,133.65,130.08,120.96,103.62,99.85,86.58,51.54,40.36,28.43,23.06,15.8,11.92,11.63,11.29,12.41,12.67,13.38,12.5,13.18,12.34,11.15,10.58,12.08,11.47,15.8,15.92,13.43,10.21,13.82,15.6,15.33,13.57,12.9,13.38,12.23,13.77,14.95,14.4,13.26,15.25,16.27,14.54,13.43,15.9,16.26,17.7,17.39,16.96,14.78,17.06,17.68,16.3,19.61,15.96,19.6,21.59
"105","country/region","South Korea","walking","한국",100,101.26,104.37,109.61,128.68,124.37,113.47,108.11,104.4,100.02,102.91,103.55,112.88,105.85,100.29,103.57,99.09,109.83,110.04,87.13,78.41,79,74.19,69.37,72.17,83.12,80.64,77.53,80.29,76.27,81.82,84.33,94.45,78.61,67.55,75.78,79.84,79.71,75.08,71.52,62.77,57.99,51.5,54.24,50.56,41.83,40.67,38.09,39.13,37.82,37.45,35.81,39.03,39.29,40.01,43.69,35.61,39.77,39.24,43.04,43.48,39.21,37.78,37.25,39.14,37.37,39.5,49.45,45.47,43.47,41.14,42.81,40.62,39.1,45.8,44.31,42.05,41.88,43.68,42.13,44.39,50.92,43.89,43.4,40.23,41.09,41.29,44.61,51.64,42.6,41.57,42.92,54.34,43.37,39.07,50.73,46.58,35.38,40.37,37.92,40.8,43.15,55.51,56.25,44,43.03,46.21,58.19,61.06,62.77,55.76,52.27
"107","country/region","Romania","walking","România",100,101.42,100.81,101.64,114.16,102.93,80.24,102.39,102.24,104.13,106.73,108.96,105.66,85.52,102.78,104.89,101.12,103.97,113.05,119.15,96.56,107.98,99.25,90.75,96.8,108.95,99.35,86.62,104.43,104.31,106.83,121.23,137.89,122.75,105.19,123.52,126.8,116.39,122.2,133.69,119.34,103.76,118.97,125.1,123.46,109.2,126.74,111.68,95.27,114.12,114.45,113.32,109,128.67,125.95,78.91,99.57,94.06,87.21,80.52,71.55,45.56,35.94,41.74,39.11,36.59,35.93,33.95,27.63,21.29,23.77,23.53,19.33,18.82,19.95,17.15,16.95,19.45,20.67,22.36,24.42,22.75,17,17.66,23.19,23.85,24.49,23.7,23.68,21.07,19.68,24.16,26.18,26.96,26.04,23.88,18.41,13.91,19.31,23.43,26.11,29.33,29.51,21.61,25.99,30.33,29.61,30.7,30.53,24.99,24.84,22.96
"109","country/region","Russia","walking","Россия",100,103.91,102.6,105.07,114.14,112,97.02,104.61,104.74,105.48,103.19,112.4,110.04,99.34,105.72,107.23,107.95,105.88,113.54,109.15,95.75,103.36,106.3,105.84,104.71,104.39,104.28,96.26,106.63,109.49,112.52,116.65,128.39,121.28,105.52,111.89,118.29,119.69,127.32,136.11,124.75,99.97,102.01,110.01,110.99,113.25,120.28,116.52,104.35,108.18,109.66,114.53,117.97,124.12,128.22,112.37,111.55,114.92,114.62,115.19,115.3,113.78,91.12,97.95,98.73,93.53,93.77,93.74,82.56,76.79,84.84,86.66,90.48,88.23,87.26,65.51,53.22,46.03,40.93,36.45,36.55,39.47,38.13,36.69,42.56,48.01,46.66,48.55,49.91,44.62,43.06,49.81,46.97,46.52,45.2,47.28,42.35,40.16,47.24,48.33,47.84,48.95,50.71,46.9,46.99,50.97,52.59,54.12,58.16,54.03,52.86,51.28
"111","country/region","Saudi Arabia","walking","السعودية",100,98.89,95.7,97.9,95.85,85.63,76.35,80.04,78.2,78.56,87.54,89.36,77.5,73.48,83.61,82.07,86.34,102.32,106.94,88.3,81.7,81.35,81.53,82.88,101.32,110.23,92.78,82.59,84.58,85.17,88.39,101.21,102.07,84.86,77.54,79.96,76.02,83.26,98.51,101.85,81.05,74.89,76.1,79.83,82.42,109.9,117.13,92.4,84.1,82.57,82.65,82.96,104.87,107.1,83.46,74.9,85.73,88.09,87.08,90.06,90.87,75.64,69.54,66.75,66.14,65.63,65.29,63.19,53.92,49.86,44.36,46.01,48.52,51.02,49.64,49.35,47.97,52.41,48.56,50.36,47.96,48.54,49.61,49.92,47.56,49.96,63.08,51.94,49.24,48.47,52.25,49.08,47.09,50.34,47.45,45.69,47.41,49.09,49.97,49.52,53.35,51.35,41.53,42.74,44.04,52.28,53.22,54.36,51.32,54.35,54.13,53.21
"113","country/region","Serbia","walking","Србија",100,90.46,93.49,96.7,108.13,113.43,79.56,91.82,96.72,100.02,102.75,114.24,117.3,96.79,99.6,98.62,98.94,104.62,113.15,128.07,102,104.57,95.38,88.06,94.35,111.1,113.83,91.38,94.44,92.15,101.14,104.88,125.65,119.63,99.16,97.27,98.22,109.34,110.2,114.46,116.93,87.45,101.41,101.01,93.47,93.43,107.63,142.25,99.91,105.54,91.65,99.45,106.81,113.19,118.53,78.41,101.65,92.06,86.79,84.66,78.15,63.84,44.41,38.01,38.14,32.62,31.61,30.14,29.96,21.39,22.58,19.78,17.85,19.13,23.96,25.08,22.16,23.5,25.72,24.38,27.68,27.92,21.41,18.6,27.37,27.79,23.41,27.9,26.71,18.73,20.99,31.9,25.48,36.89,30.93,27.15,17.32,16.2,24.23,39.59,35.77,40.12,36.01,18.07,24.97,41.68,44.14,40.76,38.29,25.46,31.7,40.43
"116","country/region","Singapore","walking",NA,100,104.42,104.79,110.5,133.23,122.37,100.68,98.06,101.62,103.46,104.9,97.21,98.59,94.88,85.01,78.54,72.46,81.35,97.23,92.56,76.7,76.38,80.69,80.86,83.76,96.94,84.66,67.46,65.72,63.56,68.26,73.74,89.89,78.75,64.12,66.4,66.27,69.15,69.64,84.98,78.55,63.35,63.19,66.4,68.18,69.5,85.62,79.27,65.92,65.31,65.96,68.43,69.33,84.43,75.32,62.08,62.11,64.7,63.38,64.32,79.65,71.84,61.54,57.76,61.79,59.05,60.35,70.86,59.69,47.5,45.79,47.03,48.46,47.28,54.72,50,45.79,43.32,47.08,45.28,44.38,52.39,52.34,51.39,42.6,32.36,30.95,34.31,34.88,36.09,32.33,27.87,27.23,25.82,28.2,30,30.72,29.35,27.92,27.71,27.53,25.31,25.87,27.17,25.06,25.66,26.32,26.11,27.22,29.64,29.03,27.62
"119","country/region","Slovakia","walking","Slovensko",100,102.64,106.86,112.4,126.02,108.33,81.93,100.87,105.31,106.9,114.22,129.07,119.17,86.21,103.51,104.72,109.13,117.4,131.52,128.93,97.41,110.68,106.01,107.9,121.28,141.41,127.89,101.67,114.12,124.69,128.57,139.86,151.25,139.13,110.51,126.22,133.59,124.98,131.81,146.91,132.93,98.54,127.29,139.5,131.45,121.57,123.41,117.47,80.57,106.76,109.65,112.74,119.48,128.21,126.12,92.87,97.45,90.46,80.59,88.23,53.74,42.43,41.43,39.54,41.99,43.83,52.32,49.75,24.62,31.72,35.84,38.65,36.25,44,53.45,54.49,47.23,41.94,42.6,49.26,52.99,54.2,55.42,61.54,58.15,66.32,46.74,53.04,51.92,55.7,62.13,43.67,50.89,66.83,73.05,69.96,74.08,49.02,66.76,68.38,71.97,80.59,73.88,59.2,72.26,69.33,78.14,65.37,72.47,56.53,70.83,59.8
"121","country/region","Slovenia","walking","Slovenija",100,101.13,108.83,109.16,123.46,93.36,79.9,104.49,106.42,114.89,119.26,131.81,110.58,72.71,98.8,96.97,120.54,115.14,119.96,117.62,95.04,123.53,106.46,125.28,126.52,131.38,119.55,89.93,116.71,129.22,122.18,170.56,362.5,193.21,115.65,129.77,127.33,127.69,125.9,143.45,130.5,107.11,139.37,137.61,103.76,120.36,139.51,117.95,76.91,106.71,104.74,119.04,119.45,131.92,123.46,95,102.59,94.02,104.34,82.63,53.41,45.35,53.41,51.44,48.85,50.13,51.55,46.15,35.13,31.23,29.95,33.97,29.3,29.95,34.99,37.32,31.48,28.86,32.65,36.08,42.14,42.36,39.33,50.71,48.3,50.35,53.96,52.68,51.73,42.28,60.93,58.01,34.8,54.21,59.47,61.44,65.16,57.53,53.59,56.26,69.65,67.79,66.44,55.93,55.02,66.14,62.86,51.62,72.27,62.17,62.31,91.5
"123","country/region","South Africa","walking",NA,100,103.14,101.11,99.47,99.37,84.44,72.98,96.72,104,104.22,109.55,118.63,108.02,91.74,113.52,119.46,116.29,114.71,135.03,124.96,113.31,135.56,127.67,123.13,126.37,136.18,111.29,94.03,111.48,111.66,118.01,119.67,141.6,115.82,91.94,107.37,108.75,108.48,110.02,123.2,106.95,82.9,101.45,103.18,109.1,113.27,131.37,127.51,90.69,102.51,103.37,106.7,113.13,124.67,116.86,81.2,96.18,96.21,93.05,95.97,111.59,101.52,71.64,77.88,78.52,73.42,72.32,74.19,58.65,43.92,52.11,55.39,60.8,54.67,13.82,14.3,14.38,15.77,17.11,18.7,20.41,19.08,15.69,15.5,18.19,19.34,20.52,21.26,19.45,20.05,16.42,18.05,21.41,24.9,21.67,23.58,20.27,17.78,23.15,24.97,24.09,25.86,27.5,24.57,19.56,22.18,27.36,34.32,39.01,43.71,40.06,36.06
"126","country/region","Spain","walking","España",100,98.35,100.8,107.91,134.63,143.26,94.59,91.8,88.99,100.26,112.84,135.73,150.12,108.39,105.71,108.1,109.17,114.23,144.92,167.1,116.06,113.25,114.17,113.67,120.27,147.92,166.35,112.38,113.58,113.22,118.13,131.71,172.16,192.6,133.31,125.89,129.57,131.74,138.1,165.75,191.28,134.83,130.32,121.11,123.93,136.99,170.82,183.15,125.56,112.98,114.03,120.37,130.01,157.84,178.42,123.06,108.59,104.81,100.74,82.83,66.09,34.15,14.33,11.45,10.66,10.12,9.07,9.82,7.17,5.82,8.91,8.83,8.75,8.72,8.95,7.04,6.27,8.51,8.67,8.67,8.99,9.52,7.42,6.3,9.58,10.2,10.85,8.21,6.99,8.26,6.67,9.63,11.28,11.11,11.54,11.98,9.64,7.83,11.81,11.76,13.93,17.73,16.94,19.26,19.5,18.56,18.77,18.22,30.01,32,41.36,35.69
"129","country/region","Sweden","walking","Sverige",100,100.6,109.04,107.33,121.86,123.88,104.39,111.64,115.29,115.5,110.32,134.48,146.44,97.47,105.08,107.55,112.9,112.2,129.59,139.5,102.43,107.74,108.88,116.1,114.32,126.58,132.69,86.77,100.79,109.4,109.93,113.56,138.59,133.07,85.68,103.01,109.35,116.71,110.84,129.4,117.79,93.14,102.01,103.6,106.05,107.1,123.34,125.17,87.04,102.28,103.52,103.18,107.31,130.14,135.61,91.56,101.54,100.22,97.13,77.25,85.86,89.72,60.48,67.77,63.3,61.53,70.13,69.54,74.99,64.46,62.42,65.43,70.06,72.9,79.15,76.63,64.29,61.77,68.61,70.51,62.42,68.73,74.44,70.93,83.89,77.63,82.36,78.78,70.35,61.91,56.47,62.45,71.63,79.32,77.12,82.08,84.62,78.39,81.22,88.22,89.06,88.55,85.18,85.7,78.72,72.55,73.6,76.49,87.73,65.43,84.16,78.66
